date,macd,signal,histogram
2021-08-09 13:45:00,0.00017152435697850854,8.119043848655588e-05,9.033391849195267e-05
2021-08-09 14:00:00,0.00017250656327877367,9.945366344499944e-05,7.305289983377423e-05
2021-08-09 14:15:00,0.00016197687803506944,0.00011195830636301344,5.0018571672056e-05
2021-08-09 14:30:00,0.00016735701776680878,0.0001230380486437725,4.4318969123036274e-05
2021-08-09 14:45:00,0.00018841146322311209,0.00013611273155964042,5.2298731663471664e-05
2021-08-09 15:00:00,0.00018959757902821395,0.00014680970105335515,4.27878779748588e-05
2021-08-09 15:15:00,0.00018908416458460198,0.0001552645937596045,3.381957082499747e-05
2021-08-09 15:30:00,0.00018740460438422535,0.0001616925958845287,2.571200849969666e-05
2021-08-09 15:45:00,0.00016608409876416041,0.00016257089646045503,3.513202303705382e-06
2021-08-09 16:00:00,0.0001457323168821828,0.00015920318054480059,-1.3470863662617787e-05
2021-08-09 16:15:00,0.0001231805525372387,0.00015199865494328822,-2.8818102406049523e-05
2021-08-09 16:30:00,0.00012413081634063405,0.00014642508722275739,-2.2294270882123332e-05
2021-08-09 16:45:00,0.00011045787981804611,0.00013923164574181513,-2.877376592376902e-05
2021-08-09 17:00:00,0.00010686275428248293,0.0001327578674499487,-2.5895113167465777e-05
2021-08-09 17:15:00,0.00010490232539527022,0.000127186759039013,-2.2284433643742787e-05
2021-08-09 17:30:00,0.000131048401618733,0.00012795908755495702,3.089314063775973e-06
2021-08-09 17:45:00,0.0001776409296955911,0.00013789545598308383,3.9745473712507256e-05
2021-08-09 18:00:00,0.0001900237829786655,0.00014832112138220017,4.1702661596465344e-05
2021-08-09 18:15:00,0.00018535480725481723,0.00015572785855672358,2.9626948698093653e-05
2021-08-09 18:30:00,0.00018189786265915275,0.00016096185937720942,2.093600328194334e-05
2021-08-09 18:45:00,0.00019091708996842038,0.00016695290549545162,2.3964184472968764e-05
2021-08-09 19:00:00,0.00018408124709143325,0.00017037857381464795,1.3702673276785301e-05
2021-08-09 19:15:00,0.00018189269501298067,0.0001726813980543145,9.21129695866617e-06
2021-08-09 19:30:00,0.0001634271035553525,0.0001708305391545221,-7.403435599169592e-06
2021-08-09 19:45:00,0.00014223124582010693,0.00016511068048763908,-2.2879434667532147e-05
2021-08-09 20:00:00,0.00012855094422332958,0.00015779873323477718,-2.9247789011447608e-05
2021-08-09 20:15:00,0.00011596893078739956,0.00014943277274530168,-3.346384195790212e-05
2021-08-09 20:30:00,0.00010885802076451845,0.00014131782234914504,-3.245980158462659e-05
2021-08-09 20:45:00,9.263314230482933e-05,0.00013158088634028191,-3.8947744035452585e-05
2021-08-09 21:00:00,8.29340706648557e-05,0.00012185152320519668,-3.891745254034098e-05
2021-08-09 21:15:00,6.792842683678302e-05,0.00011106690393151395,-4.313847709473093e-05
2021-08-09 21:30:00,5.4520262278187626e-05,9.975757560084868e-05,-4.523731332266106e-05
2021-08-09 21:45:00,4.650508762654715e-05,8.910707800598839e-05,-4.260199037944124e-05
2021-08-09 22:00:00,1.057861076127209e-05,7.340138455704513e-05,-6.282277379577304e-05
2021-08-09 22:15:00,-1.8327644455237713e-05,5.5055578754588566e-05,-7.338322320982627e-05
2021-08-09 22:30:00,-6.374049233762169e-05,3.129636453614652e-05,-9.50368568737682e-05
2021-08-09 22:45:00,-0.00011957402851514587,1.1222859258880453e-06,-0.00012069631444103392
2021-08-09 23:00:00,-0.00014879319186203444,-2.886080963169645e-05,-0.00011993238223033799
2021-08-09 23:15:00,-0.00017262252848010418,-5.7613153401378e-05,-0.00011500937507872617
2021-08-09 23:30:00,-0.00018725095428080707,-8.354071357726382e-05,-0.00010371024070354325
2021-08-09 23:45:00,-0.00019163218869126808,-0.00010515900860006467,-8.647318009120341e-05
